"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"Monde Nissin Corporation",MONDE,INDUSTRIAL,FOOD/BEVERAGE/TOBACCO,2021/06/01,Main Board
"MRC Allied, Inc.",MRC,PROPERTY INDEX,PROPERTY,1995/05/18,Main Board
"MREIT, Inc.",MREIT,PROPERTY,PROPERTY,2021/10/01,Main Board
"Metro Retail Stores Group, Inc.",MRSGI,SERVICES INDEX,RETAIL,2015/11/24,Main Board
"Mabuhay Vinyl Corporation",MVC,INDUSTRIAL INDEX,CHEMICALS,1997/02/05,Main Board
"Manila Water Company, Inc.",MWC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2005/03/18,Main Board
"Megawide Construction Corporation",MWIDE,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2011/02/18,Main Board
"Megawide Construction Corporation Perpetual Preferred Shares",MWP,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2014/12/03,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2A``",MWP2A,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2020/11/27,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 2 Preferred Shares - Subseries ``2B``",MWP2B,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2020/11/27,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 4 Preferred Shares",MWP4,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2021/10/29,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 5 Preferred Shares",MWP5,INDUSTRIAL,CONSTRUCTION/INFRA/ALLIED SERVICES,2023/04/17,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 6A Preferred Shares",MWP6A,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2025/04/14,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 6B Preferred Shares",MWP6B,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2025/04/14,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 6C Preferred Shares",MWP6C,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2025/04/14,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 7A Preferred Shares",MWP7A,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2025/11/19,Main Board
"Megawide Construction Corporation Non-Voting Perpetual Series 7B Preferred Shares",MWP7B,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2025/11/19,Main Board
"Maynilad Water Services, Inc.",MYNLD,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2025/11/07,Main Board
"NiHAO Mineral Resources International, Inc.",NI,MINING & OIL INDEX,MINING,1990/10/03,Main Board
"Nickel Asia Corporation",NIKL,MINING & OIL INDEX,MINING,2010/11/22,Main Board
"Now Corporation",NOW,SERVICES INDEX,INFORMATION TECHNOLOGY,2003/07/23,Main Board
"National Reinsurance Corporation of the Philippines",NRCP,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2007/04/27,Main Board
"NextGenesis Corporation",NXGEN,FINANCIALS INDEX,BANKS,1996/10/08,Main Board
"OceanaGold (Philippines), Inc.",OGP,MINING & OIL INDEX,MINING,2024/05/13,Main Board
"Omico Corporation",OM,PROPERTY INDEX,PROPERTY,1969/05/02,Main Board
"Oriental Petroleum and Minerals Corporation ``A``",OPM,MINING & OIL INDEX,OIL,1970/10/14,Main Board
"Oriental Petroleum and Minerals Corporation ``B``",OPMB,MINING & OIL INDEX,OIL,1970/10/14,Main Board
"Oriental Peninsula Resources Group, Inc.",ORE,MINING & OIL INDEX,MINING,2007/12/19,Main Board
"The Philodrill Corporation",OV,MINING & OIL INDEX,OIL,1969/09/25,Main Board
"Pacifica Holdings, Inc.",PA,HOLDING FIRMS INDEX,HOLDING FIRMS,1959/11/23,Main Board
"PAL Holdings, Inc.",PAL,SERVICES INDEX,TRANSPORTATION SERVICES,1954/01/04,Main Board
"Paxys, Inc.",PAX,SERVICES INDEX,OTHER SERVICES,1972/10/05,Main Board
"Philippine Business Bank, Inc., A Savings Bank",PBB,FINANCIALS INDEX,BANKS,2013/02/19,Main Board
"Philippine Bank of Communications",PBC,FINANCIALS INDEX,BANKS,1988/05/12,Main Board
"Petron Corporation",PCOR,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1994/09/07,Main Board
"PetroEnergy Resources Corporation",PERC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2004/08/11,Main Board
"Puregold Price Club, Inc.",PGOLD,SERVICES INDEX,RETAIL,2011/10/05,Main Board
"Premiere Horizon Alliance Corporation",PHA,PROPERTY INDEX,PROPERTY,1997/05/05,Main Board
"Philcomsat Holdings Corporation",PHC,SERVICES INDEX,OTHER SERVICES,1958/11/28,Main Board
"Philippine Estates Corporation",PHES,PROPERTY INDEX,PROPERTY,1985/01/21,Main Board
"Phinma Corporation",PHN,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1958/08/18,Main Board
"PH Resorts Group Holdings, Inc.",PHR,SERVICES INDEX,HOTEL & LEISURE,2011/11/24,Main Board
"Shakey`s Pizza Asia Ventures Inc.",PIZZA,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2016/12/15,Main Board
"DigiPlus Interactive Corp.",PLUS,SERVICES INDEX,CASINOS & GAMING,1958/04/17,Main Board
"Panasonic Manufacturing Philippines Corporation",PMPC,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,1983/01/21,Main Board
"Philippine National Bank",PNB,FINANCIALS INDEX,BANKS,1989/06/21,Main Board
"Philippine National Construction Corporation",PNC,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1974/03/13,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC.",PNX,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2007/07/11,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3A`` Preferred Shares",PNX3A,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2015/12/18,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual - Series ``3B`` Preferred Shares",PNX3B,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2015/12/18,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares Series ``4``",PNX4,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2019/11/07,Main Board
"P-H-O-E-N-I-X PETROLEUM PHILIPPINES, INC. Non-Voting Perpetual Preferred Shares",PNXP,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2015/01/08,Main Board
"Globalport 900, Inc.",PORT,SERVICES INDEX,TRANSPORTATION SERVICES,1948/06/09,Main Board
"Pryce Corporation",PPC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1991/10/29,Main Board
"Philippine Racing Club, Inc.",PRC,PROPERTY INDEX,PROPERTY,1952/03/02,Main Board
"Premiere Island Power REIT Corporation",PREIT,PROPERTY,PROPERTY,2022/12/15,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2A``",PRF2A,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2014/11/03,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``2`` -Subseries ``2B``",PRF2B,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2014/11/03,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3A``",PRF3A,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2019/06/25,Main Board
"Petron Corporation Perpetual Preferred Shares Series ``3`` -Subseries ``3B``",PRF3B,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2019/06/25,Main Board
"Petron Corporation Non-Voting Perpetual Series 4A Preferred Shares",PRF4A,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4B Preferred Shares",PRF4B,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4C Preferred Shares",PRF4C,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2023/07/07,Main Board
"Petron Corporation Non-Voting Perpetual Series 4D Preferred Shares",PRF4D,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2024/09/23,Main Board
"Petron Corporation Non-Voting Perpetual Series 4E Preferred Shares",PRF4E,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2024/09/23,Main Board
"Prime Media Holdings, Inc.",PRIM,HOLDING FIRMS INDEX,HOLDING FIRMS,1964/07/29,Main Board
"Primex Corporation",PRMX,PROPERTY INDEX,PROPERTY,2001/08/10,Main Board
"Philippine Savings Bank",PSB,FINANCIALS INDEX,BANKS,1994/10/10,Main Board
"The Philippine Stock Exchange, Inc.",PSE,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2003/12/15,Main Board
"Philippine Trust Company",PTC,FINANCIALS INDEX,BANKS,1988/02/17,Main Board
"PT&T Corp.",PTT,SERVICES INDEX,TELECOMMUNICATIONS,1990/01/10,Main Board
"Philex Mining Corporation",PX,MINING & OIL INDEX,MINING,1956/11/23,Main Board
"PXP Energy Corporation",PXP,MINING & OIL INDEX,OIL,2011/09/12,Main Board
"Rizal Commercial Banking Corporation",RCB,FINANCIALS INDEX,BANKS,1986/11/06,Main Board
"Roxas and Company, Inc.",RCI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1948/11/29,Main Board
"RL Commercial REIT, Inc.",RCR,PROPERTY INDEX,PROPERTY,2021/09/14,Main Board
"Repower Energy Development Corporation",REDC,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2023/07/24,Main Board
"Republic Glass Holdings Corporation",REG,HOLDING FIRMS INDEX,HOLDING FIRMS,1959/07/17,Main Board
"RFM Corporation",RFM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1966/02/21,Main Board
"Robinsons Land Corporation",RLC,PROPERTY INDEX,PROPERTY,1989/10/16,Main Board
"Philippine Realty and Holdings Corporation",RLT,PROPERTY INDEX,PROPERTY,1987/09/07,Main Board
"Rockwell Land Corporation",ROCK,PROPERTY INDEX,PROPERTY,2012/05/11,Main Board
"Roxas Holdings, Inc.",ROX,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1996/08/08,Main Board
"Robinsons Retail Holdings, Inc.",RRHI,SERVICES INDEX,RETAIL,2013/11/11,Main Board
"Raslag Corp. Series 1 Preferred Shares",RSLG1,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2025/10/30,Main Board
"SBS Philippines Corporation",SBS,SERVICES INDEX,OTHER SERVICES,2015/08/10,Main Board
"Semirara Mining and Power Corporation",SCC,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,1983/11/28,Main Board
"Security Bank Corporation",SECB,FINANCIALS INDEX,BANKS,1995/06/08,Main Board
"Philippine Seven Corporation",SEVN,SERVICES INDEX,RETAIL,1998/02/04,Main Board
"Swift Foods, Inc.",SFI,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1994/11/15,Main Board
"Swift Foods, Inc. Convertible Preferred",SFIP,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2000/03/17,Main Board
"Solid Group, Inc.",SGI,HOLDING FIRMS INDEX,HOLDING FIRMS,1948/04/26,Main Board
"Synergy Grid & Development Phils., Inc.",SGP,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER ,1972/05/10,Main Board
"Shell Pilipinas Corporation",SHLPH,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2016/11/03,Main Board
"Shang Properties, Inc.",SHNG,PROPERTY INDEX,PROPERTY,1991/06/13,Main Board
"Sun Life Financial Inc.",SLF,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,2000/03/24,Main Board
"Sta. Lucia Land, Inc.",SLI,PROPERTY INDEX,PROPERTY,1987/09/14,Main Board
"SM Investments Corporation",SM,HOLDING FIRMS INDEX,HOLDING FIRMS,2005/03/22,Main Board
"San Miguel Corporation",SMC,HOLDING FIRMS INDEX,HOLDING FIRMS,1948/11/05,Main Board
"San Miguel Corporation Series '2' Preferred Shares - Subseries '2-A'",,HOLDING FIRMS INDEX,HOLDING FIRMS,2012/09/28,Main Board
"San Miguel Corporation Series '2' Preferred Shares - Subseries '2-B'",,HOLDING FIRMS INDEX,HOLDING FIRMS,2012/09/28,Main Board
"San Miguel Corporation Series '2' Preferred Shares - Subseries '2-C'",,HOLDING FIRMS INDEX,HOLDING FIRMS,2012/09/28,Main Board
"SAN MIGUEL CORPORATION SERIES '2' PREFERRED SHARES - SUBSERIES '2-D'",,HOLDING FIRMS INDEX,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-E``",SMC2E,HOLDING FIRMS INDEX,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-F``",SMC2F,HOLDING FIRMS INDEX,HOLDING FIRMS,2015/09/21,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-G``",SMC2G,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-H``",SMC2H,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-I``",SMC2I,HOLDING FIRMS INDEX,HOLDING FIRMS,2016/03/30,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-J``",SMC2J,HOLDING FIRMS INDEX,HOLDING FIRMS,2020/10/29,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-K``",SMC2K,HOLDING FIRMS INDEX,HOLDING FIRMS,2020/12/10,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2L``",SMC2L,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares - Subseries ``2-M``",SMC2M,HOLDING FIRMS INDEX,HOLDING FIRMS,2023/08/29,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2N``",SMC2N,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation Series 2 Preferred Shares – Subseries ``2O``",SMC2O,HOLDING FIRMS,HOLDING FIRMS,2023/12/01,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-P``",SMC2P,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-Q``",SMC2Q,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-R``",SMC2R,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-S``",SMC2S,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-T``",SMC2T,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation Series ``2`` Preferred Shares – Subseries ``2-U``",SMC2U,HOLDING FIRMS INDEX,HOLDING FIRMS,2025/10/24,Main Board
"San Miguel Corporation - Preferred Series ``1``",SMCP1,HOLDING FIRMS INDEX,HOLDING FIRMS,2010/12/08,Main Board
"SM Prime Holdings, Inc.",SMPH,PROPERTY INDEX,PROPERTY,1994/07/05,Main Board
"SOCResources, Inc.",SOC,PROPERTY INDEX,PROPERTY,1994/01/05,Main Board
"SPC Power Corporation",SPC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,2002/04/02,Main Board
"Seafront Resources Corporation",SPM,HOLDING FIRMS INDEX,HOLDING FIRMS,1974/05/07,Main Board
"SP New Energy Corporation",SPNEC,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2021/12/17,Main Board
"Supercity Realty Development Corporation",SRDC,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2003/12/19,Main Board
"SSI Group, Inc.",SSI,SERVICES INDEX,RETAIL,2014/11/07,Main Board
"SFA Semicon Philippines Corporation",,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2014/12/01,Main Board
"STI Education Systems Holdings, Inc.",STI,SERVICES INDEX,EDUCATION,1976/10/12,Main Board
"Steniel Manufacturing Corporation",STN,INDUSTRIAL INDEX,OTHER INDUSTRIALS,1993/11/22,Main Board
"Vistamalls, Inc.",STR,PROPERTY INDEX,PROPERTY,1970/11/17,Main Board
"Suntrust Resort Holdings, Inc.",SUN,PROPERTY INDEX,PROPERTY,1959/02/11,Main Board
"TKC Metals Corporation",T,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2001/07/20,Main Board
"Transpacific Broadband Group Int`l. Inc.",TBGI,SERVICES INDEX,INFORMATION TECHNOLOGY,2003/12/12,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``A`` Shares",TCB2A,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2017/12/08,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries ``B`` Shares",TCB2B,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2021/02/02,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries C Shares",TCB2C,INDUSTRIAL,ELECTICAL COMPONENTS & EQUIPMENT,2021/12/14,Main Board
"Cirtek Holdings Philippines Corporation Preferred B-2 Subseries D Shares",TCB2D,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2021/12/14,Main Board
"Cirtek Holdings Philippines Corporation",TECH,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2011/11/18,Main Board
"PLDT Inc.",TEL,SERVICES INDEX,TELECOMMUNICATIONS,1953/09/17,Main Board
"PTFC Redevelopment Corporation",TFC,PROPERTY INDEX,PROPERTY,1955/12/19,Main Board
"Top Frontier Investment Holdings, Inc.",TFHI,HOLDING FIRMS INDEX,HOLDING FIRMS,2014/01/13,Main Board
"PLDT Inc. Convertible Preferred Shares Series ``II``",TLII,,,2014/10/15,
"PLDT Inc. Convertible Preferred Shares Series ``JJ``",TLJJ,,,2016/01/21,
"Top Line Business Development Corp.",TOP,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2025/04/08,Main Board
"Harbor Star Shipping Services, Inc.",TUGS,SERVICES INDEX,TRANSPORTATION SERVICES,2013/10/30,Main Board
"Union Bank of the Philippines",UBP,FINANCIALS INDEX,BANKS,1992/06/29,Main Board
"Uniholdings Inc.",UNH,PROPERTY INDEX,PROPERTY,1985/11/21,Main Board
"United Paragon Mining Corporation",UPM,MINING & OIL INDEX,MINING,1972/08/31,Main Board
"Upson International Corp.",UPSON,SERVICES,RETAIL,2023/04/03,Main Board
"Universal Robina Corporation",URC,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1994/03/25,Main Board
"Vantage Equities, Inc.",V,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1993/03/30,Main Board
"Vitarich Corporation",VITA,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1995/02/08,Main Board
"Villar Land Holdings Corp.",VLC,PROPERTY,PROPERTY,2016/06/29,Main Board
"Vista Land & Lifescapes, Inc.",VLL,PROPERTY INDEX,PROPERTY,2007/06/25,Main Board
"Vista Land & Lifescapes, Inc. Series 2A Preferred Shares",VLL2A,PROPERTY INDEX,PROPERTY,2024/10/04,Main Board
"Vista Land & Lifescapes, Inc. Series 2B Preferred Shares",VLL2B,PROPERTY INDEX,PROPERTY,2024/10/04,Main Board
"Victorias Milling Company, Inc.",VMC,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1993/11/15,Main Board
"VistaREIT, Inc.",VREIT,PROPERTY,REIT,2022/06/15,Main Board
"Vivant Corporation",VVT,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1994/06/23,Main Board
"Philweb Corporation",WEB,SERVICES INDEX,CASINOS & GAMING,1969/12/08,Main Board
"Wellex Industries, Inc.",WIN,PROPERTY INDEX,PROPERTY,1958/01/09,Main Board
"Wilcon Depot, Inc.",WLCON,SERVICES INDEX,RETAIL,2017/03/31,Main Board
"Waterfront Philippines, Incorporated",WPI,SERVICES INDEX,HOTEL & LEISURE,1995/03/17,Main Board
"Xurpas Inc.",X,,SMALL/MEDIUM/EMERGING BOARD,2014/12/02,SME Board
"NexGen Energy Corp.",XG,SME,SME,2024/07/16,SME Board
"Zeus Holdings, Inc.",ZHI,HOLDING FIRMS INDEX,HOLDING FIRMS,1991/07/15,Main Board
