"Company Name ","Symbol ","Sector ","Sub-Sector ","Listing Date ","Listing Board "
"Altus Property Ventures, Inc.",APVI,PROPERTY,PROPERTY,2020/06/26,Main Board
"Apex Mining Co., Inc.",APX,MINING & OIL INDEX,MINING,1974/03/07,Main Board
"Abra Mining & Industrial Corporation",AR,MINING & OIL INDEX,MINING,1969/12/24,Main Board
"Araneta Properties, Inc.",ARA,PROPERTY INDEX,PROPERTY,1989/11/14,Main Board
"AREIT, Inc.",AREIT,PROPERTY INDEX,PROPERTY,2020/08/13,Main Board
"Raslag Corp.",ASLAG,INDUSTRIAL,ELECTRICITY/ENERGY/POWER/WATER,2022/06/06,Main Board
"Atlas Consolidated Mining and Development Corporation",AT,MINING & OIL INDEX,MINING,1970/11/17,Main Board
"Asian Terminals, Inc.",ATI,SERVICES INDEX,TRANSPORTATION SERVICES,1996/01/25,Main Board
"ATN Holdings, Inc. ``A``",ATN,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1970/09/24,Main Board
"ATN Holdings, Inc. ``B``",ATNB,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1970/09/24,Main Board
"Asia United Bank Corporation",AUB,FINANCIALS INDEX,BANKS,2013/05/17,Main Board
"Axelum Resources Corp.",AXLM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,2019/10/07,Main Board
"Balai Ni Fruitas Inc.",BALAI,SME,SME,2022/06/30,SME Board
"Benguet Corporation ``A``",BC,MINING & OIL INDEX,MINING,1950/01/04,Main Board
"Benguet Corporation ``B``",BCB,MINING & OIL INDEX,MINING,1950/01/04,Main Board
"Berjaya Philippines, Inc.",BCOR,SERVICES INDEX,RETAIL,1948/11/29,Main Board
"Benguet Corporation - 8% Cumulative Convertible Preferred A",BCP,MINING & OIL INDEX,MINING,1974/05/29,Main Board
"BDO Unibank, Inc.",BDO,FINANCIALS,BANKS,2002/05/21,Main Board
"Belle Corporation",BEL,SERVICES INDEX,CASINOS & GAMING,1977/02/02,Main Board
"BHI Holdings, Inc.",BH,HOLDING FIRMS INDEX,HOLDING FIRMS,1966/11/02,Main Board
"Boulevard Holdings, Inc.",BHI,SERVICES INDEX,HOTEL & LEISURE,1997/04/28,Main Board
"Bright Kindle Resources & Investments Inc.",BKR,FINANCIALS INDEX,OTHER FINANCIAL INSTITUTIONS,1995/03/21,Main Board
"Bloomberry Resorts Corporation",BLOOM,SERVICES INDEX,CASINOS & GAMING,2000/10/17,Main Board
"Bogo-Medellin Milling Co., Inc.",BMM,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1950/11/16,Main Board
"Bank of Commerce",BNCOM,FINANCIALS,BANKS,2022/03/31,Main Board
"Bank of the Philippine Islands",BPI,FINANCIALS INDEX,BANKS,1971/10/12,Main Board
"A Brown Company, Inc.",BRN,PROPERTY INDEX,PROPERTY,1994/02/08,Main Board
"A Brown Company, Inc. Series A Preferred Shares",BRNP,PROPERTY,PROPERTY,2021/11/29,Main Board
"A Brown Company, Inc. Series B Preferred Shares",BRNPB,PROPERTY INDEX,PROPERTY,2024/02/23,Main Board
"A Brown Company, Inc. Series C Preferred Shares",BRNPC,PROPERTY INDEX,PROPERTY,2024/02/23,Main Board
"Basic Energy Corporation",BSC,INDUSTRIAL INDEX,ELECTRICITY/ENERGY/POWER/WATER,1973/10/16,Main Board
"Chelsea Logistics and Infrastructure Holdings Corp.",C,SERVICES INDEX,TRANSPORTATION SERVICES,2017/08/08,Main Board
"Concrete Aggregates Corp. ``A``",CA,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1972/10/20,Main Board
"Concrete Aggregates Corp. ``B``",CAB,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,1973/04/02,Main Board
"Central Azucarera de Tarlac, Inc.",CAT,INDUSTRIAL INDEX,FOOD/BEVERAGE/TOBACCO,1977/04/12,Main Board
"China Banking Corporation",CBC,FINANCIALS INDEX,BANKS,1927/09/01,Main Board
"Cityland Development Corporation",CDC,PROPERTY INDEX,PROPERTY,1983/08/02,Main Board
"Cebu Air, Inc.",CEB,SERVICES INDEX,TRANSPORTATION SERVICES,2010/10/26,Main Board
"Cebu Air, Inc. Convertible Preferred Shares",CEBCP,SERVICES,TRANSPORTATION SERVICES,2021/03/29,Main Board
"Crown Equities, Inc.",CEI,PROPERTY INDEX,PROPERTY,1994/08/16,Main Board
"Centro Escolar University",CEU,SERVICES INDEX,EDUCATION,1986/11/10,Main Board
"Concreat Holdings Philippines, Inc.",CHP,INDUSTRIAL INDEX,CONSTRUCTION/INFRA/ALLIED SERVICES,2016/07/18,Main Board
"Concepcion Industrial Corporation",CIC,INDUSTRIAL INDEX,ELECTRICAL COMPONENTS & EQUIPMENT,2013/11/27,Main Board
"Cebu Landmasters, Inc.",CLI,PROPERTY INDEX,PROPERTY,2017/06/02,Main Board
"Cebu Landmasters, Inc. Series A-1 Preferred Shares",CLIA1,PROPERTY INDEX,PROPERTY,2024/04/12,Main Board
